id,Description,,,,,,
49,Budhisim  session activity     Religion department,,,,,,
50,Judaism  session activity     Religion department,,,,,,
51,Hindusim  session activity     Religion department,,,,,,
52,Sikhism  session activity     Religion department,,,,,,
53,Why do people relate of Arjuna? Thoughts on Hindusim    Religion department,,,,,,
54,Social experiment on how   Religion affects our behaviour    Religion department,,,,,,
55,Quick rounds on religious facts in the US     Religion department,,,,,,
56,Film,,,,,,
57,Remaking scences from Fast&Furious. participation is welcome     Film dapartment,,,,,,
58,Can you make a 5 minute Film about life Augsburg College? Winners win a medal,,,,,,
59,Guess the Film. 5 Kahoot rounds,,,,,,
60,Which camera are they using to Film this? Winners win a $10 Amazon giftcard,,,,,,
61,Can you Film this scence again but with a different perspective? Cameras are provided,,,,,,
62,Into to Cinematography session and activity    Film department,,,,,,
63,Can you think of a similar scene from a different Film? Participation is required ,,,,,,
64,Welcome to BollyWood Film industry. A fun activity,,,,,,
65,Q&A session with Film department chair ,,,,,,
66,Discussion with Film majors and their career choice,,,,,,
67,History,,,,,,
68,Group discussions about why Hilter was so cruel and callous     History department,,,,,,
69,4th of July significance in popular culture activity     History department,,,,,,
70,Where do you think the word love came from in History ? ,,,,,,
71,relating your year of birth to your future. Is there is a historical evidence? A fun activity,,,,,,
72,When were they born? Most guess will win cool key chain     History department,,,,,,
73,Meet the History department chair,,,,,,
74,collaborate with a  History major to present a 2min presentation abou the 15 century ,,,,,,
75,WW2 Q&A session     History department,,,,,,
76,WW1 Q&A session     History department,,,,,,
77,1 on 1 activity with a History major,,,,,,
78,Langauge,,,,,,
79,French speaking fun activity     Langauge deparment,,,,,,
80,Arabic speaking fun activity     Langauge deparment,,,,,,
81,Italian speaking fun activity     Langauge deparment,,,,,,
82,Somali speaking fun activity     Langauge deparment,,,,,,
83,Spanish speaking fun activity     Langauge deparment,,,,,,
84,Hmong speaking fun activity     Langauge deparment,,,,,,
85,German speaking fun activity     Langauge deparment,,,,,,
86,Mandarin speaking fun activity     Langauge deparment,,,,,,
87,Hindi speaking fun activity     Langauge deparment,,,,,,
88,Tagalog speaking fun activity     Langauge deparment,,,,,,
89,Psychology,,,,,,
90,Mind games activity Session#1      Psychology department,,,,,,
91,Mind games activity Session#2      Psychology department,,,,,,
92,Mind games activity Session#3      Psychology department,,,,,,
93,Pre Frontal Cortex activity     Psychology department,,,,,,
94,can you resist the snooze button? A mind challenge      Psychology department,,,,,,
95,Is reserve Psychology fake? Reviting Psychological activity and guest speaker session    Psychology department,,,,,,
96,Q&A session with department chair      Psychology department,,,,,,
97,Culinary,,,,,,
98,Whoever makes the best lasagna wins   Culinary Dept,,,,,,
99,So you think you can finish 3 strawberry cakes? Let us see it   Culinary Dept,,,,,,
100,into to   Culinary. Please bring an apren and towel with you   Culinary Dept,,,,,,
101,Ice cream competition   Culinary Dept,,,,,,
102,Who is the chef?   Culinary Dept,,,,,,
103,Can you make Thai tea? Winners get a $10 target coupon   Culinary Dept,,,,,,
104,It is all about beans here   Culinary Dept,,,,,,
105,"Sweet! Yes, we are making candy crush. Please join us   Culinary Dept",,,,,,
106,who is Gordon Ramsey? 10 must know facts   Culinary Dept,,,,,,
107,Kahoot on food names. Let s see how many you know   Culinary Dept,,,,,,
108,Majoring in Culinary? Let's help you,,,,,,
109,Cooking isn't about eating good food.  It is an Art. Info sesion at noon.   Culinary Dept,,,,,,
110,Student Chef Competition. Please join us   Culinary Dept,,,,,,
